date,code,name,p_close,open,high,low,close,volume,売買代金,値幅制限,時価総額_百万円,発行済株式数,配当利回り,配当,per,pbr,eps,bps,最低購入代金,単元株数,年初来高値,年初来安値,信用買残,信用買残前週比,信用売残,信用売残前週比,貸借倍率,get
05/14,9375,(株)近鉄エクスプレス,"2,558","2,588","2,648","2,558","2,582","312,600","811,668","2,058～3,060","185,904","72,000,000",1.94,50.00,9.67,1.34,267.06,"1,926.30","258,200",100,"2,922","2,340","98,100","-19,900","93,900","+1,200",1.04,2021/05/16 15:54:40
05/14,9376,(株)ユーラシア旅行社,500,500,514,500,500,"3,700","1,877",400～600,"1,845","3,690,000",0.00,0.00,(,(,2021/09,2020/09,05/14,年初来高値,21/01/08,21/01/22,"199,100",-900,"54,500","-1,500",3.65,2021/05/16 15:51:13
05/14,9377,(株)エージーピー,545,544,544,534,542,"1,300",699,445～645,"7,561","13,950,000",---,(,--:--,05/14,),),),用語,),),"34,500","-1,700",0,0,0.00,2021/05/16 15:58:20
05/14,9380,東海運(株),330,337,337,320,320,"64,900","21,270",250～410,"9,255","28,923,000",1.88,6.00,19.91,0.58,14.89,554.43,"32,000",100,427,305,"159,300",0,"16,900",-900,9.43,2021/05/16 15:58:16
05/14,9381,(株)エーアイテイー,"1,002","1,011","1,024","1,006","1,014","18,700","18,967","702～1,302","24,248","23,913,600",3.94,40.00,13.38,1.98,75.77,511.73,"101,400",100,"1,117",917,"69,800","+8,600",100,+100,698.00,2021/05/16 15:58:01
05/14,9384,内外トランスライン(株),"1,737","1,780","1,815","1,770","1,805","21,000","37,732","1,337～2,137","19,310","10,698,000",1.99,36.00,10.45,1.78,172.70,"1,012.75","180,500",100,"1,917","1,170","50,500","+28,300","10,100","+7,400",5.00,2021/05/16 15:57:38
05/14,9385,(株)ショーエイコーポレーション,946,961,973,954,957,"44,100","42,376","796～1,096","7,512","7,850,000",2.09,20.00,6.79,1.59,141.00,602.03,"95,700",100,"1,153",937,"204,400","+10,200","2,700",+600,75.70,2021/05/16 15:57:36
05/14,9386,日本コンセプト(株),"1,519","1,583","1,652","1,561","1,629","16,500","26,809","1,119～1,919","22,592","13,868,500",1.84,30.00,(,(,),),),用語,),),"10,100",+700,500,0,20.20,2021/05/16 15:57:35
05/14,9399,ビート・ホールディングス・リミテッド,105,105,108,100,100,"1,110,131","115,560",55～155,"5,316","53,159,957",0.00,0.00,(,(,),),),140,年初来安値,※参考指標のリンクは、IFIS株予報のページへ移動します。,"387,575","-32,800",0,0,0.00,2021/05/16 15:57:34
05/14,9401,(株)ＴＢＳホールディングス,"2,030","2,043","2,093","2,029","2,076","283,800","588,555","1,530～2,530","362,698","174,709,837",1.45,30.00,12.45,0.49,71.44,"4,575.61","207,600",100,"2,470","1,726","53,000","-1,700","32,500","-4,500",1.63,2021/05/16 15:57:32
05/14,9402,中部日本放送(株),576,579,590,579,590,"1,400",815,476～676,"15,576","26,400,000",2.54,15.00,16.93,0.27,34.85,"2,179.70","59,000",100,603,516,---,(,--/--,),(,2021/05/16 15:57:31
05/14,9404,日本テレビホールディングス(株),"1,374","1,308","1,314","1,293","1,300","1,093,500","1,424,579","1,074～1,674","342,969","263,822,080",2.69,35.00,11.84,0.41,109.77,"3,195.39","130,000",100,"1,607","1,080","77,100","-3,900","190,500","+15,300",0.40,2021/05/16 15:57:30
