,date,code,name,market,code_33,category_33,code_17,category_17,code_scale,scale
0,20171130,1773,ワイ・ティー・エル・コーポレーション・バーハッド,市場第一部（外国株）,2050,建設業,3,建設・資材 ,-,-
1,20171130,4875,メディシノバ・インク,JASDAQ(スタンダード・外国株）,3250,医薬品,5,医薬品 ,-,-
2,20171130,6697,テックポイント・インク,マザーズ（外国株）,3650,電気機器,9,電機・精密 ,-,-
3,20171130,8685,アメリカン・インターナショナル・グループ・インク,市場第一部（外国株）,7150,保険業,16,金融（除く銀行） ,-,-
4,20171130,8686,アフラック・インコーポレーテッド,市場第一部（外国株）,7150,保険業,16,金融（除く銀行） ,-,-
5,20171130,9399,新華ホールディングス・リミテッド（新華控股有限公司）,市場第二部（外国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
