,date,code,name,market,code_33,category_33,code_17,category_17,code_scale,scale
0,20171130,1301,極洋,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
1,20171130,1305,ダイワ上場投信－トピックス,ETF・ETN,-,-,-,-,-,-
2,20171130,1306,ＴＯＰＩＸ連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
3,20171130,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-
4,20171130,1309,上海株式指数・上証５０連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
5,20171130,1310,ダイワ上場投信－トピックス・コア３０,ETF・ETN,-,-,-,-,-,-
6,20171130,1311,ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
7,20171130,1312,ラッセル野村小型コア・インデックス連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
8,20171130,1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,ETF・ETN,-,-,-,-,-,-
9,20171130,1314,上場インデックスファンドＳ＆Ｐ日本新興株１００,ETF・ETN,-,-,-,-,-,-
10,20171130,1319,日経３００株価指数連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
11,20171130,1320,ダイワ上場投信－日経２２５,ETF・ETN,-,-,-,-,-,-
12,20171130,1321,日経２２５連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
13,20171130,1322,上場インデックスファンド中国Ａ株（パンダ）ＣＳＩ３００,ETF・ETN,-,-,-,-,-,-
14,20171130,1323,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信,ETF・ETN,-,-,-,-,-,-
15,20171130,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信,ETF・ETN,-,-,-,-,-,-
16,20171130,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,-,-,-,-
17,20171130,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-,-,-,-,-
18,20171130,1327,Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券,ETF・ETN,-,-,-,-,-,-
19,20171130,1328,金価格連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20,20171130,1329,ｉシェアーズ　日経２２５　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
21,20171130,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-
22,20171130,1332,日本水産,市場第一部（内国株）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
23,20171130,1333,マルハニチロ,市場第一部（内国株）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
24,20171130,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
25,20171130,1344,ＭＡＸＩＳ　トピックス・コア３０上場投信,ETF・ETN,-,-,-,-,-,-
26,20171130,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,-,-,-,-,-,-
27,20171130,1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,-,-,-,-,-,-
28,20171130,1347,上場インデックスファンドＦＴＳＥ日本グリーンチップ３５,ETF・ETN,-,-,-,-,-,-
29,20171130,1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,-,-,-,-,-,-
30,20171130,1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,-,-,-,-,-,-
31,20171130,1352,ホウスイ,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
32,20171130,1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
33,20171130,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
34,20171130,1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,-,-,-,-,-,-
35,20171130,1360,日経平均ベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
36,20171130,1361,ｉシェアーズ　米国ハイイールド債券ＥＴＦ－ＪＤＲ（ｉＢｏｘｘドル建てＬＨＹＣ）,ETF・ETN,-,-,-,-,-,-
37,20171130,1362,ｉシェアーズ　新興国債券ＥＴＦ－ＪＤＲ（自国通貨建）,ETF・ETN,-,-,-,-,-,-
38,20171130,1363,ｉシェアーズ　米国債ＥＴＦ－ＪＤＲ（米７－１０年国債）,ETF・ETN,-,-,-,-,-,-
39,20171130,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
40,20171130,1365,ダイワ上場投信－日経平均レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-
41,20171130,1366,ダイワ上場投信－日経平均ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-
42,20171130,1367,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,-,-,-,-,-,-
43,20171130,1368,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,-,-,-,-,-,-
44,20171130,1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,-,-,-,-,-,-
45,20171130,1376,カネコ種苗,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
46,20171130,1377,サカタのタネ,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
47,20171130,1379,ホクト,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
48,20171130,1380,秋川牧園,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
49,20171130,1381,アクシーズ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
50,20171130,1382,ホーブ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
51,20171130,1383,ベルグアース,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
52,20171130,1384,ホクリヨウ,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
53,20171130,1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）,ETF・ETN,-,-,-,-,-,-
54,20171130,1386,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）,ETF・ETN,-,-,-,-,-,-
55,20171130,1387,ＵＢＳ　ＥＴＦ　欧州通貨圏株（ＭＳＣＩ　ＥＭＵ）,ETF・ETN,-,-,-,-,-,-
56,20171130,1388,ＵＢＳ　ＥＴＦ　欧州通貨圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,ETF・ETN,-,-,-,-,-,-
57,20171130,1389,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）,ETF・ETN,-,-,-,-,-,-
58,20171130,1390,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）,ETF・ETN,-,-,-,-,-,-
59,20171130,1391,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,ETF・ETN,-,-,-,-,-,-
60,20171130,1392,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,ETF・ETN,-,-,-,-,-,-
