,Code,StockName,Date,Open,High,Low,Close,Volume,AdjClose
1622,4973,日本高純度化学(株),2014-03-27,分割: 1株 -> 100株,,,,,
1623,4974,タカラバイオ(株),2011-03-29,分割: 1株 -> 400株,,,,,
1624,4975,(株)ＪＣＵ,2006-03-28,分割: 1株 -> 2株,,,,,
1625,4975,(株)ＪＣＵ,2014-09-26,分割: 1株 -> 2株,,,,,
1626,4975,(株)ＪＣＵ,2017-03-29,分割: 1株 -> 2株,,,,,
1627,4978,(株)リプロセル,2013-08-28,分割: 1株 -> 5株,,,,,
1628,4979,ＯＡＴアグリオ(株),2015-06-26,分割: 1株 -> 2株,,,,,
1629,4998,フマキラー(株),2017-09-27,分割: 1株 -> 0.5株,,,,,
1630,5009,富士興産(株),2012-09-26,分割: 1株 -> 0.1株,,,,,
1631,5015,ビーピー・カストロール(株),2000-03-28,分割: 1株 -> 1.2株,,,,,
1632,5015,ビーピー・カストロール(株),2002-06-25,分割: 1株 -> 2株,,,,,
1633,5019,出光興産(株),2013-12-26,分割: 1株 -> 4株,,,,,
1634,5101,横浜ゴム(株),2015-06-26,分割: 1株 -> 0.5株,,,,,
1635,5103,昭和ホールディングス(株),2006-12-01,分割: 1株 -> 0.1株,,,,,
1636,5104,日東化工(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1637,5105,東洋ゴム工業(株),2014-06-26,分割: 1株 -> 0.5株,,,,,
1638,5142,アキレス(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1639,5162,(株)朝日ラバー,2000-09-26,分割: 1株 -> 1.2株,,,,,
1640,5184,(株)ニチリン,2014-09-26,分割: 1株 -> 1.1株,,,,,
1641,5195,バンドー化学(株),2016-09-28,分割: 1株 -> 0.5株,,,,,
1642,5199,不二ラテックス(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1643,5201,旭硝子(株),2017-06-28,分割: 1株 -> 0.2株,,,,,
1644,5202,日本板硝子(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1645,5204,石塚硝子(株),2017-09-15,分割: 1株 -> 0.1株,,,,,
1646,5208,(株)有沢製作所,2000-03-28,分割: 1株 -> 1.1株,,,,,
1647,5208,(株)有沢製作所,2001-03-27,分割: 1株 -> 1.1株,,,,,
1648,5208,(株)有沢製作所,2002-03-26,分割: 1株 -> 1.1株,,,,,
1649,5208,(株)有沢製作所,2003-03-26,分割: 1株 -> 1.1株,,,,,
1650,5208,(株)有沢製作所,2004-03-26,分割: 1株 -> 1.1株,,,,,
1651,5208,(株)有沢製作所,2005-03-28,分割: 1株 -> 1.1株,,,,,
1652,5214,日本電気硝子(株),2005-01-17,分割: 1株 -> 2株,,,,,
1653,5214,日本電気硝子(株),2007-03-27,分割: 1株 -> 1.5株,,,,,
1654,5214,日本電気硝子(株),2017-06-28,分割: 1株 -> 0.2株,,,,,
1655,5217,テクノクオーツ(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1656,5218,(株)オハラ,2007-04-24,分割: 1株 -> 2株,,,,,
1657,5233,太平洋セメント(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1658,5237,(株)ノザワ,2016-09-28,分割: 1株 -> 0.5株,,,,,
1659,5261,リソルホールディングス(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1660,5271,(株)トーヨーアサノ,2017-08-29,分割: 1株 -> 0.1株,,,,,
1661,5277,(株)スパンクリートコーポレーション,2006-09-26,分割: 1株 -> 2株,,,,,
1662,5279,日本興業(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1663,5285,(株)ヤマックス,2017-09-27,分割: 1株 -> 0.1株,,,,,
1664,5302,日本カーボン(株),2017-06-28,分割: 1株 -> 0.1株,,,,,
1665,5304,ＳＥＣカーボン(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1666,5310,東洋炭素(株),2007-05-28,分割: 1株 -> 1.5株,,,,,
1667,5331,(株)ノリタケカンパニーリミテド,2016-09-28,分割: 1株 -> 0.1株,,,,,
1668,5332,ＴＯＴＯ(株),2015-09-28,分割: 1株 -> 0.5株,,,,,
1669,5351,品川リフラクトリーズ(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1670,5352,黒崎播磨(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1671,5381,Ｍｉｐｏｘ(株),2001-03-27,分割: 1株 -> 1.2株,,,,,
1672,5381,Ｍｉｐｏｘ(株),2004-09-27,分割: 1株 -> 2株,,,,,
1673,5391,(株)エーアンドエーマテリアル,2017-09-27,分割: 1株 -> 0.1株,,,,,
1674,5401,新日鐵住金(株),2015-09-28,分割: 1株 -> 0.1株,,,,,
1675,5406,(株)神戸製鋼所,2016-09-28,分割: 1株 -> 0.1株,,,,,
1676,5408,(株)中山製鋼所,2016-09-28,分割: 1株 -> 0.1株,,,,,
1677,5410,合同製鐵(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1678,5445,東京鐵鋼(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1679,5446,北越メタル(株),2016-09-28,分割: 1株 -> 0.2株,,,,,
1680,5451,(株)淀川製鋼所,2015-09-28,分割: 1株 -> 0.2株,,,,,
1681,5456,朝日工業(株),2006-01-04,分割: 1株 -> 3株,,,,,
1682,5456,朝日工業(株),2013-06-26,分割: 1株 -> 100株,,,,,
1683,5458,高砂鐵工(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1684,5464,モリ工業(株),2016-09-28,分割: 1株 -> 0.2株,,,,,
1685,5471,大同特殊鋼(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1686,5476,日本高周波鋼業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1687,5480,日本冶金工業(株),2003-02-25,分割: 1株 -> 0.5株,,,,,
1688,5481,山陽特殊製鋼(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1689,5482,愛知製鋼(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1690,5491,日本金属(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1691,5541,大平洋金属(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1692,5602,(株)栗本鐵工所,2016-09-28,分割: 1株 -> 0.1株,,,,,
1693,5603,虹技(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1694,5609,日本鋳造(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1695,5631,(株)日本製鋼所,2016-09-28,分割: 1株 -> 0.2株,,,,,
1696,5632,三菱製鋼(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1697,5659,日本精線(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1698,5660,神鋼鋼線工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1699,5695,パウダーテック(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1700,5706,三井金属,2017-09-27,分割: 1株 -> 0.1株,,,,,
1701,5707,東邦亜鉛(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1702,5711,三菱マテリアル(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1703,5713,住友金属鉱山(株),2017-09-27,分割: 1株 -> 0.5株,,,,,
1704,5714,ＤＯＷＡホールディングス(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1705,5715,古河機械金属(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1706,5721,(株)エス・サイエンス,2013-09-26,分割: 1株 -> 0.1株,,,,,
1707,5726,(株)大阪チタニウムテクノロジーズ,2005-09-27,分割: 1株 -> 2株,,,,,
1708,5726,(株)大阪チタニウムテクノロジーズ,2006-09-26,分割: 1株 -> 2株,,,,,
1709,5727,東邦チタニウム(株),2006-01-26,分割: 1株 -> 2株,,,,,
1710,5729,日本精鉱(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1711,5741,(株)ＵＡＣＪ,2017-09-27,分割: 1株 -> 0.1株,,,,,
1712,5742,エヌアイシ・オートテック(株),2013-03-27,分割: 1株 -> 100株,,,,,
1713,5753,日本伸銅(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1714,5781,東邦金属(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1715,5801,古河電気工業(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1716,5805,昭和電線ホールディングス(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1717,5807,東京特殊電線(株),2014-09-26,分割: 1株 -> 0.1株,,,,,
1718,5815,沖電線(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1719,5820,(株)三ッ星,2017-09-27,分割: 1株 -> 0.2株,,,,,
1720,5821,平河ヒューテック(株),2016-02-01,分割: 1株 -> 2株,,,,,
1721,5851,リョービ(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1722,5856,(株)東理ホールディングス,2009-07-31,分割: 1株 -> 0.1株,,,,,
1723,5903,ＳＨＩＮＰＯ(株),2001-06-26,分割: 1株 -> 1.5株,,,,,
1724,5905,日本製罐(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1725,5907,ＪＦＥコンテイナー(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1726,5909,(株)コロナ,2002-03-26,分割: 1株 -> 1.1株,,,,,
1727,5912,ＯＳＪＢホールディングス(株),2006-12-26,分割: 1株 -> 0.25株,,,,,
1728,5912,ＯＳＪＢホールディングス(株),2013-03-27,分割: 1株 -> 2株,,,,,
1729,5912,ＯＳＪＢホールディングス(株),2014-09-26,分割: 1株 -> 0.5株,,,,,
1730,5915,(株)駒井ハルテック,2016-09-28,分割: 1株 -> 0.1株,,,,,
1731,5918,瀧上工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1732,5922,那須電機鉄工(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1733,5923,高田機工(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1734,5935,元旦ビューティ工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1735,5936,東洋シヤッター(株),2006-09-01,分割: 1株 -> 0.1株,,,,,
1736,5939,(株)大谷工業,2017-09-27,分割: 1株 -> 0.1株,,,,,
1737,5955,(株)ヤマシナ,2005-08-10,分割: 1株 -> 0.1株,,,,,
1738,5958,三洋工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1739,5959,岡部(株),2005-09-27,分割: 1株 -> 2株,,,,,
1740,5962,浅香工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1741,5964,東洋刃物(株),2015-09-28,分割: 1株 -> 0.1株,,,,,
1742,5966,ＫＴＣ(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1743,5969,(株)ロブテックス,2017-09-27,分割: 1株 -> 0.1株,,,,,
1744,5970,(株)ジーテクト,2008-06-25,分割: 1株 -> 1.2株,,,,,
1745,5970,(株)ジーテクト,2014-03-27,分割: 1株 -> 2株,,,,,
1746,5974,中国工業(株),2013-09-26,分割: 1株 -> 0.1株,,,,,
1747,5981,東京製綱(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1748,5983,イワブチ(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
1749,5987,(株)オーネックス,2007-06-26,分割: 1株 -> 3株,,,,,
1750,5988,(株)パイオラックス,2003-09-25,分割: 1株 -> 1.1株,,,,,
1751,5988,(株)パイオラックス,2017-03-29,分割: 1株 -> 3株,,,,,
1752,5992,中央発條(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1753,5994,(株)ファインシンター,2016-09-28,分割: 1株 -> 0.2株,,,,,
1754,5998,(株)アドバネクス,2015-09-28,分割: 1株 -> 0.1株,,,,,
1755,6005,三浦工業(株),2014-09-26,分割: 1株 -> 3株,,,,,
1756,6016,(株)ジャパンエンジンコーポレーション,2017-09-27,分割: 1株 -> 0.1株,,,,,
1757,6018,阪神内燃機工業(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1758,6022,(株)赤阪鐵工所,2003-06-25,分割: 1株 -> 1.1株,,,,,
1759,6022,(株)赤阪鐵工所,2017-09-27,分割: 1株 -> 0.1株,,,,,
1760,6027,弁護士ドットコム(株),2016-09-28,分割: 1株 -> 3株,,,,,
1761,6029,アトラ(株),2015-08-27,分割: 1株 -> 3株,,,,,
1762,6032,(株)インターワークス,2015-11-26,分割: 1株 -> 2株,,,,,
1763,6033,(株)エクストリーム,2016-07-27,分割: 1株 -> 2株,,,,,
1764,6034,ＭＲＴ(株),2016-03-29,分割: 1株 -> 2株,,,,,
1765,6036,ＫｅｅＰｅｒ技研(株),2015-09-28,分割: 1株 -> 2株,,,,,
1766,6036,ＫｅｅＰｅｒ技研(株),2017-06-28,分割: 1株 -> 2株,,,,,
1767,6040,日本スキー場開発(株),2016-01-27,分割: 1株 -> 2株,,,,,
1768,6042,(株)ニッキ,2017-09-27,分割: 1株 -> 0.2株,,,,,
1769,6044,(株)三機サービス,2015-11-26,分割: 1株 -> 3株,,,,,
1770,6045,(株)レントラックス,2015-09-28,分割: 1株 -> 3株,,,,,
1771,6048,(株)デザインワン・ジャパン,2015-08-27,分割: 1株 -> 3株,,,,,
1772,6048,(株)デザインワン・ジャパン,2017-02-24,分割: 1株 -> 2株,,,,,
1773,6050,イー・ガーディアン(株),2015-09-28,分割: 1株 -> 3株,,,,,
1774,6050,イー・ガーディアン(株),2016-06-28,分割: 1株 -> 2株,,,,,
1775,6054,(株)リブセンス,2012-06-27,分割: 1株 -> 2株,,,,,
1776,6054,(株)リブセンス,2013-06-26,分割: 1株 -> 2株,,,,,
1777,6054,(株)リブセンス,2013-12-26,分割: 1株 -> 2株,,,,,
1778,6055,ジャパンマテリアル(株),2013-03-27,分割: 1株 -> 2株,,,,,
1779,6055,ジャパンマテリアル(株),2014-11-26,分割: 1株 -> 3株,,,,,
1780,6055,ジャパンマテリアル(株),2016-12-28,分割: 1株 -> 2株,,,,,
