,Code,StockName,Date,Open,High,Low,Close,Volume,AdjClose
258,2330,(株)フォーサイド,2003-10-28,分割: 1株 -> 5株,,,,,
259,2330,(株)フォーサイド,2004-05-26,分割: 1株 -> 5株,,,,,
260,2330,(株)フォーサイド,2014-03-27,分割: 1株 -> 10株,,,,,
261,2332,(株)クエスト,2003-03-26,分割: 1株 -> 1.1株,,,,,
262,2332,(株)クエスト,2006-12-26,分割: 1株 -> 1.3株,,,,,
263,2332,(株)クエスト,2007-12-25,分割: 1株 -> 1.3株,,,,,
264,2335,(株)キューブシステム,2010-03-29,分割: 1株 -> 2株,,,,,
265,2335,(株)キューブシステム,2011-03-29,分割: 1株 -> 1.5株,,,,,
266,2335,(株)キューブシステム,2014-09-26,分割: 1株 -> 2株,,,,,
267,2337,いちご(株),2004-08-26,分割: 1株 -> 5株,,,,,
268,2337,いちご(株),2006-02-23,分割: 1株 -> 2株,,,,,
269,2337,いちご(株),2013-08-28,分割: 1株 -> 200株,,,,,
270,2338,(株)ファステップス,2013-02-26,分割: 1株 -> 100株,,,,,
271,2340,(株)極楽湯ホールディングス,2006-12-26,分割: 1株 -> 5株,,,,,
272,2341,(株)アルバイトタイムス,2004-02-24,分割: 1株 -> 2株,,,,,
273,2341,(株)アルバイトタイムス,2005-02-23,分割: 1株 -> 3株,,,,,
274,2342,(株)トランスジェニック,2006-10-02,分割: 1株 -> 0.001株,,,,,
275,2342,(株)トランスジェニック,2013-03-27,分割: 1株 -> 100株,,,,,
276,2344,平安レイサービス(株),2003-03-26,分割: 1株 -> 2株,,,,,
277,2345,アイスタディ(株),2012-09-26,分割: 1株 -> 100株,,,,,
278,2349,(株)エヌアイデイ,2004-06-25,分割: 1株 -> 3株,,,,,
279,2349,(株)エヌアイデイ,2006-09-26,分割: 1株 -> 2株,,,,,
280,2351,(株)ＡＳＪ,2004-03-26,分割: 1株 -> 3株,,,,,
281,2351,(株)ＡＳＪ,2004-09-27,分割: 1株 -> 2株,,,,,
282,2351,(株)ＡＳＪ,2013-09-26,分割: 1株 -> 100株,,,,,
283,2352,(株)エイジア,2011-03-29,分割: 1株 -> 200株,,,,,
284,2352,(株)エイジア,2017-03-29,分割: 1株 -> 2株,,,,,
285,2353,日本駐車場開発(株),2004-05-26,分割: 1株 -> 3株,,,,,
286,2353,日本駐車場開発(株),2004-09-27,分割: 1株 -> 21株,,,,,
287,2353,日本駐車場開発(株),2014-01-29,分割: 1株 -> 100株,,,,,
288,2354,安川情報システム(株),2005-03-15,分割: 1株 -> 2株,,,,,
289,2359,(株)コア,2005-03-28,分割: 1株 -> 2株,,,,,
290,2362,(株)夢真ホールディングス,2005-03-28,分割: 1株 -> 4株,,,,,
291,2370,(株)メディネット,2003-11-25,分割: 1株 -> 10株,,,,,
292,2370,(株)メディネット,2014-03-27,分割: 1株 -> 100株,,,,,
293,2371,(株)カカクコム,2003-12-25,分割: 1株 -> 5株,,,,,
294,2371,(株)カカクコム,2005-09-27,分割: 1株 -> 3株,,,,,
295,2371,(株)カカクコム,2008-06-25,分割: 1株 -> 2株,,,,,
296,2371,(株)カカクコム,2011-07-27,分割: 1株 -> 200株,,,,,
297,2371,(株)カカクコム,2013-03-27,分割: 1株 -> 2株,,,,,
298,2371,(株)カカクコム,2013-08-28,分割: 1株 -> 2株,,,,,
299,2372,(株)アイロムグループ,2005-02-01,分割: 1株 -> 3株,,,,,
300,2372,(株)アイロムグループ,2013-09-26,分割: 1株 -> 10株,,,,,
301,2373,(株)ケア２１,2004-04-26,分割: 1株 -> 2株,,,,,
302,2373,(株)ケア２１,2013-04-25,分割: 1株 -> 100株,,,,,
303,2374,セントケア・ホールディング(株),2005-09-27,分割: 1株 -> 3株,,,,,
304,2374,セントケア・ホールディング(株),2012-09-26,分割: 1株 -> 100株,,,,,
305,2375,スリープログループ(株),2006-05-01,分割: 1株 -> 0.01株,,,,,
306,2375,スリープログループ(株),2012-12-26,分割: 1株 -> 300.03株,,,,,
307,2379,ディップ(株),2004-08-26,分割: 1株 -> 5株,,,,,
308,2379,ディップ(株),2012-08-29,分割: 1株 -> 100株,,,,,
309,2379,ディップ(株),2015-08-27,分割: 1株 -> 5株,,,,,
310,2384,ＳＢＳホールディングス(株),2014-05-28,分割: 1株 -> 3株,,,,,
311,2385,(株)総医研ホールディングス,2004-06-25,分割: 1株 -> 2株,,,,,
312,2385,(株)総医研ホールディングス,2005-06-27,分割: 1株 -> 2株,,,,,
313,2385,(株)総医研ホールディングス,2013-06-26,分割: 1株 -> 100株,,,,,
314,2388,(株)ウェッジホールディングス,2004-06-25,分割: 1株 -> 2株,,,,,
315,2388,(株)ウェッジホールディングス,2014-03-27,分割: 1株 -> 100株,,,,,
316,2389,(株)オプトホールディング,2004-03-26,分割: 1株 -> 3株,,,,,
317,2389,(株)オプトホールディング,2005-06-27,分割: 1株 -> 4株,,,,,
318,2389,(株)オプトホールディング,2012-12-26,分割: 1株 -> 200株,,,,,
319,2391,(株)プラネット,2005-07-26,分割: 1株 -> 2株,,,,,
320,2391,(株)プラネット,2009-08-03,分割: 1株 -> 400株,,,,,
321,2393,(株)日本ケアサプライ,2004-07-27,分割: 1株 -> 2株,,,,,
322,2393,(株)日本ケアサプライ,2006-07-26,分割: 1株 -> 2株,,,,,
323,2393,(株)日本ケアサプライ,2013-09-26,分割: 1株 -> 100株,,,,,
324,2395,(株)新日本科学,2005-09-27,分割: 1株 -> 2株,,,,,
325,2397,(株)ＤＮＡチップ研究所,2005-03-28,分割: 1株 -> 2株,,,,,
326,2397,(株)ＤＮＡチップ研究所,2013-09-26,分割: 1株 -> 100株,,,,,
327,2398,(株)ツクイ,2013-03-27,分割: 1株 -> 2株,,,,,
328,2398,(株)ツクイ,2016-08-29,分割: 1株 -> 2株,,,,,
329,2402,(株)アマナ,2004-09-27,分割: 1株 -> 10株,,,,,
330,2404,(株)鉄人化計画,2005-08-26,分割: 1株 -> 4株,,,,,
331,2404,(株)鉄人化計画,2013-06-13,分割: 1株 -> 200株,,,,,
332,2405,(株)フジコー,2011-05-27,分割: 1株 -> 20株,,,,,
333,2406,(株)アルテ　サロン　ホールディングス,2004-12-27,分割: 1株 -> 2株,,,,,
334,2406,(株)アルテ　サロン　ホールディングス,2006-12-26,分割: 1株 -> 2株,,,,,
335,2406,(株)アルテ　サロン　ホールディングス,2013-12-26,分割: 1株 -> 100株,,,,,
336,2408,(株)ＫＧ情報,2005-06-15,分割: 1株 -> 1.2株,,,,,
337,2410,(株)キャリアデザインセンター,2014-03-27,分割: 1株 -> 100株,,,,,
338,2411,ゲンダイエージェンシー(株),2005-01-26,分割: 1株 -> 10株,,,,,
339,2411,ゲンダイエージェンシー(株),2013-03-27,分割: 1株 -> 200株,,,,,
